player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Maveric Lamoureux,UTA,R,D,5,0,1,1,4,2,,,,,,,,,,,,
,Mavrik Bourque,DAL,R,C,82,20,21,41,6,22,,,,,,,,,,,,
,Max Crozier,TBL,R,D,35,1,9,10,7,40,,,,,,,,,,,,
,Max Domi,TOR,L,C,80,12,24,36,-29,95,,,,,,,,,,,,
,Max Jones,EDM,L,L,21,3,2,5,3,9,,,,,,,,,,,,
,Max Sasson,VAN,L,C,66,13,6,19,-13,26,,,,,,,,,,,,
,Max Shabanov,NYI,L,R,44,5,13,18,-5,2,,,,,,,,,,,,
,Maxim Groshev,TBL,L,D,2,0,1,1,1,0,,,,,,,,,,,,
,Michael Amadio,OTT,R,R,81,15,20,35,13,18,,,,,,,,,,,,
,Michael Brandsegg-Nygård,DET,R,R,14,0,1,1,-5,2,,,,,,,,,,,,
,Michael Bunting,"NSH,DAL",L,L,61,13,18,31,-17,16,,,,,,,,,,,,
,Michael Bunting,"NSH,DAL",L,L,13,1,1,2,-7,4,,,,,,,,,,,,
,Michael Callahan,BOS,L,D,5,0,0,0,-1,0,,,,,,,,,,,,
,Michael Carcone,UTA,L,L,79,16,15,31,4,22,,,,,,,,,,,,
,Michael Eyssimont,BOS,L,C,56,8,10,18,-3,31,,,,,,,,,,,,
,Michael Kesselring,BUF,R,D,34,0,2,2,0,50,,,,,,,,,,,,
,Michael McCarron,"NSH,MIN",R,C,59,5,7,12,-15,73,,,,,,,,,,,,
,Michael McCarron,"NSH,MIN",R,C,20,3,2,5,-1,20,,,,,,,,,,,,
,Michael Misa,SJS,L,C,45,9,12,21,-2,10,,,,,,,,,,,,
,Michael Pezzetta,TOR,L,L,9,0,0,0,-4,35,,,,,,,,,,,,
,Michael Rasmussen,DET,L,C,64,6,8,14,-10,8,,,,,,,,,,,,
,Mika Zibanejad,NYR,R,C,81,34,44,78,-20,14,,,,,,,,,,,,
,Mikael Backlund,CGY,L,C,82,17,26,43,7,16,,,,,,,,,,,,
,Mikael Granlund,ANA,L,C,58,19,22,41,-9,18,,,,,,,,,,,,
,Mikael Pyyhtia,CBJ,L,L,5,1,0,1,-1,0,,,,,,,,,,,,
,Mike Benning,FLA,R,D,18,2,4,6,-4,2,,,,,,,,,,,,
,Mike Matheson,MTL,L,D,78,7,30,37,9,34,,,,,,,,,,,,
,Mike Reilly,CAR,L,D,42,1,8,9,11,26,,,,,,,,,,,,
,Mikey Anderson,LAK,L,D,80,4,16,20,8,22,,,,,,,,,,,,
,Mikhail Sergachev,UTA,L,D,78,10,49,59,2,44,,,,,,,,,,,,
,Mikko Rantanen,DAL,L,R,64,22,55,77,0,93,,,,,,,,,,,,
,Mikulas Hovorka,FLA,R,D,4,0,1,1,-1,0,,,,,,,,,,,,
,Miles Wood,CBJ,L,L,54,8,6,14,-10,26,,,,,,,,,,,,
,Miro Heiskanen,DAL,L,D,77,9,54,63,9,30,,,,,,,,,,,,
,Mitch Marner,VGK,R,R,81,24,56,80,17,24,,,,,,,,,,,,
,Mitchell Chaffee,TBL,R,R,11,0,1,1,-2,4,,,,,,,,,,,,
,Morgan Barron,WPG,L,C,65,11,12,23,5,31,,,,,,,,,,,,
,Morgan Frost,CGY,L,C,82,22,21,43,-16,28,,,,,,,,,,,,
,Morgan Geekie,BOS,R,C,81,39,29,68,-5,22,,,,,,,,,,,,
,Morgan Rielly,TOR,L,D,78,11,25,36,-18,29,,,,,,,,,,,,
,Moritz Seider,DET,R,D,82,10,50,60,15,57,,,,,,,,,,,,
,Nate Danielson,DET,R,C,28,2,5,7,-7,4,,,,,,,,,,,,
,Nate Schmidt,UTA,L,D,82,5,17,22,31,22,,,,,,,,,,,,
,Nathan Bastian,DAL,R,R,36,6,1,7,4,21,,,,,,,,,,,,
,Nathan Gaucher,ANA,R,C,3,0,0,0,-1,0,,,,,,,,,,,,
,Nathan Légaré,NJD,R,R,1,0,0,0,0,0,,,,,,,,,,,,
,Nathan MacKinnon,COL,R,C,80,53,74,127,57,39,,,,,,,,,,,,
,Nathan Walker,STL,L,L,46,4,7,11,-9,28,,,,,,,,,,,,
,Nazem Kadri,"CGY,COL",L,C,61,12,29,41,-27,24,,,,,,,,,,,,
,Nazem Kadri,"CGY,COL",L,C,16,4,5,9,-3,6,,,,,,,,,,,,
,Neal Pionk,WPG,R,D,51,3,9,12,1,37,,,,,,,,,,,,
,Nic Dowd,"WSH,VGK",R,C,55,4,12,16,-6,53,,,,,,,,,,,,
,Nic Dowd,"WSH,VGK",R,C,20,1,4,5,2,20,,,,,,,,,,,,
,Nicholas Robertson,TOR,L,L,78,16,16,32,-13,10,,,,,,,,,,,,
,Nick Bjugstad,"STL,NJD",R,C,35,6,1,7,-7,25,,,,,,,,,,,,
,Nick Bjugstad,"STL,NJD",R,C,26,0,2,2,-4,8,,,,,,,,,,,,
,Nick Blankenburg,"NSH,COL",R,D,49,6,15,21,-11,10,,,,,,,,,,,,
,Nick Blankenburg,"NSH,COL",R,D,12,2,1,3,1,0,,,,,,,,,,,,
,Nick Cousins,OTT,L,C,81,9,14,23,8,92,,,,,,,,,,,,
,Nick DeSimone,UTA,R,D,40,2,6,8,4,10,,,,,,,,,,,,
,Nick Foligno,"CHI,MIN",L,L,17,1,3,4,0,17,,,,,,,,,,,,
,Nick Foligno,"CHI,MIN",L,L,37,3,8,11,2,27,,,,,,,,,,,,
,Nick Jensen,OTT,R,D,61,4,13,17,-2,22,,,,,,,,,,,,
,Nick Lardis,CHI,L,L,41,10,5,15,-18,10,,,,,,,,,,,,
,Nick Leddy,SJS,L,D,32,1,6,7,-9,6,,,,,,,,,,,,
,Nick Paul,TBL,L,L,51,7,8,15,-15,32,,,,,,,,,,,,
,Nick Perbix,NSH,R,D,79,3,10,13,-14,20,,,,,,,,,,,,
,Nick Schmaltz,UTA,R,C,82,33,41,74,17,28,,,,,,,,,,,,
,Nick Seeler,PHI,L,D,80,4,6,10,1,38,,,,,,,,,,,,
,Nick Suzuki,MTL,R,C,82,29,72,101,37,28,,,,,,,,,,,,
,Nico Hischier,NJD,L,C,82,28,38,66,-6,29,,,,,,,,,,,,
,Nico Sturm,MIN,L,C,49,5,6,11,0,16,,,,,,,,,,,,
,Nicolas Aube-Kubel,MIN,R,R,6,0,2,2,1,6,,,,,,,,,,,,
,Nicolas Deslauriers,"PHI,CAR",L,L,24,0,1,1,-3,33,,,,,,,,,,,,
,Nicolas Deslauriers,"PHI,CAR",L,L,7,0,1,1,0,5,,,,,,,,,,,,
,Nicolas Hague,NSH,L,D,62,3,12,15,-10,47,,,,,,,,,,,,
,Nicolas Roy,"TOR,COL",R,C,59,5,15,20,0,10,,,,,,,,,,,,
,Nicolas Roy,"TOR,COL",R,C,15,3,2,5,0,13,,,,,,,,,,,,
,Nikita Chibrikov,WPG,L,R,11,0,0,0,0,14,,,,,,,,,,,,
,Nikita Grebenkin,PHI,L,R,55,4,10,14,-7,46,,,,,,,,,,,,
,Nikita Kucherov,TBL,L,R,76,44,86,130,43,50,,,,,,,,,,,,
,Nikita Nesterenko,ANA,L,C,29,1,8,9,-2,8,,,,,,,,,,,,
,Nikita Zadorov,BOS,L,D,81,2,20,22,18,152,,,,,,,,,,,,
,Niko Mikkola,FLA,L,D,68,3,8,11,-1,47,,,,,,,,,,,,
,Nikolaj Ehlers,CAR,L,L,82,26,45,71,8,14,,,,,,,,,,,,
,Nikolas Matinpalo,OTT,R,D,50,0,5,5,-1,16,,,,,,,,,,,,
,Nils Aman,VAN,L,C,2,0,0,0,0,0,,,,,,,,,,,,
,Nils Hoglander,VAN,L,L,38,2,3,5,-4,8,,,,,,,,,,,,
,Nils Lundkvist,DAL,R,D,52,3,8,11,12,16,,,,,,,,,,,,
,Nino Niederreiter,WPG,L,R,61,8,11,19,-7,18,,,,,,,,,,,,
,Noah Cates,PHI,L,L,82,18,29,47,26,44,,,,,,,,,,,,
,Noah Dobson,MTL,R,D,80,12,35,47,5,34,,,,,,,,,,,,
,Noah Gregor,FLA,L,L,37,4,5,9,-10,26,,,,,,,,,,,,
,Noah Hanifin,VGK,L,D,71,3,25,28,0,14,,,,,,,,,,,,
,Noah Juulsen,PHI,R,D,52,1,9,10,3,15,,,,,,,,,,,,
,Noah Laba,NYR,R,C,74,9,15,24,2,31,,,,,,,,,,,,
,Noah Ostlund,BUF,L,C,60,11,16,27,11,14,,,,,,,,,,,,
,Noah Philp,"EDM,CAR",R,C,15,2,1,3,-7,4,,,,,,,,,,,,
,Noah Philp,"EDM,CAR",R,C,2,0,0,0,0,0,,,,,,,,,,,,
,Noel Acciari,PIT,R,C,67,13,12,25,14,25,,,,,,,,,,,,
,Nolan Foote,FLA,L,L,12,1,0,1,-4,6,,,,,,,,,,,,
,Olen Zellweger,ANA,L,D,76,7,15,22,4,34,,,,,,,,,,,,
,Oliver Bjorkstrand,TBL,R,R,80,12,20,32,-14,16,,,,,,,,,,,,
,Oliver Bonk,PHI,R,D,1,1,1,2,1,0,,,,,,,,,,,,
,Oliver Ekman-Larsson,TOR,L,D,78,8,31,39,-6,70,,,,,,,,,,,,
,Oliver Kapanen,MTL,R,C,82,22,15,37,4,22,,,,,,,,,,,,
,Oliver Moore,CHI,L,C,51,5,14,19,-15,19,,,,,,,,,,,,
,Olle Lycksell,OTT,L,R,7,1,1,2,-2,0,,,,,,,,,,,,
,Olli Maatta,"UTA,CGY",L,D,22,0,1,1,-5,2,,,,,,,,,,,,
,Olli Maatta,"UTA,CGY",L,D,21,2,12,14,-1,2,,,,,,,,,,,,
,Ondrej Palat,"NJD,NYI",L,L,29,1,4,5,-6,2,,,,,,,,,,,,
,Ondrej Palat,"NJD,NYI",L,L,51,4,6,10,-5,12,,,,,,,,,,,,
,Oscar Fisker Molgaard,SEA,L,C,13,0,2,2,2,2,,,,,,,,,,,,
,Oskar Bäck,DAL,L,C,72,5,7,12,10,10,,,,,,,,,,,,
,Oskar Sundqvist,STL,R,C,52,5,12,17,-18,26,,,,,,,,,,,,
,Otto Stenberg,STL,L,C,32,3,7,10,3,5,,,,,,,,,,,,
,Owen Beck,MTL,R,C,15,1,0,1,4,6,,,,,,,,,,,,
,Owen Pickering,PIT,L,D,4,0,0,0,-3,2,,,,,,,,,,,,
,Owen Power,BUF,L,D,81,8,21,29,9,16,,,,,,,,,,,,
,Owen Tippett,PHI,R,R,81,28,23,51,-6,32,,,,,,,,,,,,
,Ozzy Wiesblatt,NSH,R,C,40,1,4,5,-6,38,,,,,,,,,,,,
,Parker Ford,WPG,R,C,15,0,1,1,-2,4,,,,,,,,,,,,
,Parker Kelly,COL,L,C,82,21,14,35,18,30,,,,,,,,,,,,
,Parker Wotherspoon,PIT,L,D,80,3,27,30,17,55,,,,,,,,,,,,
,Patrick Giles,SJS,R,R,3,0,1,1,1,0,,,,,,,,,,,,
,Patrick Kane,DET,L,R,67,16,41,57,-1,16,,,,,,,,,,,,
,Patrik Laine,MTL,R,L,5,0,1,1,-3,2,,,,,,,,,,,,
,Paul Cotter,NJD,L,L,79,9,6,15,-24,19,,,,,,,,,,,,
,Pavel Buchnevich,STL,L,L,81,20,28,48,-10,26,,,,,,,,,,,,
,Pavel Dorofeyev,VGK,L,R,82,37,27,64,-3,24,,,,,,,,,,,,
,Pavel Mintyukov,ANA,L,D,73,8,14,22,-3,17,,,,,,,,,,,,
,Pavel Zacha,BOS,L,C,78,30,35,65,4,28,,,,,,,,,,,,
,Pavol Regenda,SJS,L,L,24,9,1,10,-4,20,,,,,,,,,,,,
,Peyton Krebs,BUF,L,C,82,12,27,39,13,78,,,,,,,,,,,,
,Philip Broberg,STL,L,D,81,6,28,34,14,16,,,,,,,,,,,,
,Philip Tomasino,PIT,R,R,9,0,1,1,-2,0,,,,,,,,,,,,
,Philipp Kurashev,SJS,L,C,43,7,13,20,1,16,,,,,,,,,,,,
,Philippe Myers,TOR,R,D,39,0,2,2,-10,22,,,,,,,,,,,,
,Phillip Danault,"LAK,MTL",L,C,45,6,6,12,-6,20,,,,,,,,,,,,
,Phillip Danault,"LAK,MTL",L,C,30,0,5,5,3,6,,,,,,,,,,,,
,Pierre-Luc Dubois,WSH,L,C,29,5,14,19,-4,19,,,,,,,,,,,,
,Pierre-Olivier Joseph,VAN,L,D,31,1,5,6,-16,8,,,,,,,,,,,,
,Pius Suter,STL,L,C,64,13,16,29,13,20,,,,,,,,,,,,
,Pontus Holmberg,TBL,L,R,70,11,11,22,1,31,,,,,,,,,,,,
,Porter Martone,PHI,R,R,9,4,6,10,4,6,,,,,,,,,,,,
,Quinn Hughes,"VAN,MIN",L,D,26,2,21,23,-10,12,,,,,,,,,,,,
,Quinn Hughes,"VAN,MIN",L,D,48,5,48,53,6,20,,,,,,,,,,,,
,Quinn Hutson,EDM,R,R,4,1,0,1,-1,0,,,,,,,,,,,,
,Quinton Byfield,LAK,L,R,79,24,25,49,-2,46,,,,,,,,,,,,
,Radek Faksa,DAL,L,C,58,2,15,17,2,18,,,,,,,,,,,,
,Radko Gudas,ANA,R,D,56,2,11,13,-2,67,,,,,,,,,,,,
,Rafael Harvey-Pinard,PIT,L,L,1,0,0,0,1,0,,,,,,,,,,,,
,Raphael Lavoie,VGK,R,C,1,0,0,0,0,0,,,,,,,,,,,,
,Rasmus Andersson,"CGY,VGK",R,D,33,7,10,17,1,18,,,,,,,,,,,,
,Rasmus Andersson,"CGY,VGK",R,D,48,10,20,30,3,53,,,,,,,,,,,,
,Rasmus Dahlin,BUF,L,D,77,19,55,74,18,76,,,,,,,,,,,,
,Rasmus Ristolainen,PHI,R,D,44,1,13,14,10,16,,,,,,,,,,,,
,Rasmus Sandin,WSH,L,D,73,5,24,29,4,12,,,,,,,,,,,,
,Reid Schaefer,NSH,L,L,47,6,2,8,-12,17,,,,,,,,,,,,
,Reilly Smith,VGK,L,R,69,16,10,26,-9,4,,,,,,,,,,,,
,Rickard Rakell,PIT,R,R,60,24,24,48,-2,8,,,,,,,,,,,,
,Ridly Greig,OTT,L,C,77,13,22,35,12,83,,,,,,,,,,,,
,Riley Stillman,EDM,L,D,4,0,0,0,1,0,,,,,,,,,,,,
,Riley Tufte,BOS,L,L,4,1,0,1,-1,0,,,,,,,,,,,,
,Robby Fabbri,"STL,MIN",L,C,15,1,3,4,-3,12,,,,,,,,,,,,
,Robby Fabbri,"STL,MIN",L,C,6,1,0,1,-1,4,,,,,,,,,,,,
,Robert Thomas,STL,R,C,64,25,39,64,22,24,,,,,,,,,,,,
,Roby Jarventie,EDM,L,L,3,0,0,0,-1,0,,,,,,,,,,,,
,Rodrigo Abols,PHI,L,C,42,3,7,10,-1,22,,,,,,,,,,,,
,Roman Josi,NSH,L,D,68,13,42,55,-15,30,,,,,,,,,,,,
,Ronan Seeley,CAR,L,D,1,0,0,0,0,0,,,,,,,,,,,,
,Roope Hintz,DAL,L,C,53,15,29,44,16,18,,,,,,,,,,,,
,Rory Kerins,CGY,L,C,4,0,0,0,-1,2,,,,,,,,,,,,
,Ross Colton,COL,L,C,73,9,15,24,9,13,,,,,,,,,,,,
,Ross Johnston,ANA,L,L,62,3,11,14,0,107,,,,,,,,,,,,
,Rutger McGroarty,PIT,L,R,24,3,3,6,-3,4,,,,,,,,,,,,
,Ryan Donato,CHI,L,C,82,15,15,30,-16,46,,,,,,,,,,,,
,Ryan Graves,PIT,L,D,22,1,0,1,-3,10,,,,,,,,,,,,
,Ryan Greene,CHI,R,C,81,12,17,29,-14,14,,,,,,,,,,,,
,Ryan Hartman,MIN,R,R,76,23,20,43,-1,48,,,,,,,,,,,,
,Ryan Johnson,BUF,L,D,3,0,0,0,0,2,,,,,,,,,,,,
,Ryan Leonard,WSH,R,R,75,20,25,45,2,47,,,,,,,,,,,,
,Ryan Lindgren,SEA,L,D,76,2,7,9,-2,60,,,,,,,,,,,,
,Ryan Lomberg,CGY,L,L,57,4,5,9,-4,59,,,,,,,,,,,,
,Ryan McDonagh,TBL,L,D,48,6,15,21,14,6,,,,,,,,,,,,
,Ryan McLeod,BUF,L,C,81,14,40,54,25,16,,,,,,,,,,,,
,Ryan Nugent-Hopkins,EDM,L,C,72,20,36,56,-9,21,,,,,,,,,,,,
,Ryan O'Reilly,NSH,L,C,81,25,49,74,8,22,,,,,,,,,,,,
,Ryan Poehling,ANA,L,C,75,11,25,36,8,12,,,,,,,,,,,,
,Ryan Pulock,NYI,R,D,76,3,24,27,9,16,,,,,,,,,,,,
,Ryan Reaves,SJS,R,R,50,3,0,3,-12,37,,,,,,,,,,,,
,Ryan Shea,PIT,L,D,80,6,29,35,30,22,,,,,,,,,,,,
,Ryan Strome,"ANA,CGY",R,C,33,3,6,9,-5,27,,,,,,,,,,,,
,Ryan Strome,"ANA,CGY",R,C,19,5,7,12,-3,8,,,,,,,,,,,,
,Ryan Tverberg,TOR,R,C,2,0,0,0,1,2,,,,,,,,,,,,
,Ryan Ufko,NSH,R,D,18,2,9,11,0,6,,,,,,,,,,,,
,Ryan Winterton,SEA,R,C,68,4,14,18,0,15,,,,,,,,,,,,
,Ryker Evans,SEA,L,D,67,8,9,17,5,40,,,,,,,,,,,,
,Sacha Boisvert,CHI,L,C,7,1,1,2,-1,9,,,,,,,,,,,,
,Sam Bennett,FLA,L,C,76,26,32,58,-10,82,,,,,,,,,,,,
,Sam Carrick,"NYR,BUF",R,C,60,4,6,10,-2,53,,,,,,,,,,,,
,Sam Carrick,"NYR,BUF",R,C,13,5,1,6,4,12,,,,,,,,,,,,
,Sam Colangelo,ANA,R,R,9,1,0,1,-3,4,,,,,,,,,,,,
,Sam Dickinson,SJS,L,D,72,1,13,14,-5,22,,,,,,,,,,,,
,Sam Lafferty,CHI,R,C,29,1,1,2,-2,14,,,,,,,,,,,,
,Sam Malinski,COL,R,D,82,8,32,40,43,22,,,,,,,,,,,,
,Sam Morton,CGY,L,C,3,0,0,0,-1,10,,,,,,,,,,,,
,Sam Reinhart,FLA,R,C,64,29,32,61,-18,10,,,,,,,,,,,,
,Sam Rinzel,CHI,R,D,54,4,10,14,-7,44,,,,,,,,,,,,
,Sam Steel,DAL,L,C,73,12,21,33,3,24,,,,,,,,,,,,
,Samuel Blais,"TOR,MTL",L,L,8,1,2,3,-2,4,,,,,,,,,,,,
,Samuel Blais,"TOR,MTL",L,L,13,2,3,5,4,6,,,,,,,,,,,,
,Samuel Girard,"COL,PIT",L,D,20,0,7,7,5,8,,,,,,,,,,,,
,Samuel Girard,"COL,PIT",L,D,40,3,9,12,12,15,,,,,,,,,,,,
,Samuel Helenius,LAK,L,C,53,5,4,9,-6,50,,,,,,,,,,,,
,Samuel Honzek,CGY,L,L,18,2,2,4,1,2,,,,,,,,,,,,
,Samuel Poulin,PIT,L,R,2,0,0,0,-2,0,,,,,,,,,,,,
,Sandis Vilmanis,FLA,L,L,19,3,2,5,-1,4,,,,,,,,,,,,
,Scott Laughton,"TOR,LAK",L,C,43,8,4,12,-3,17,,,,,,,,,,,,
,Scott Laughton,"TOR,LAK",L,C,21,5,3,8,-2,14,,,,,,,,,,,,
,Scott Mayfield,NYI,R,D,80,2,13,15,-11,83,,,,,,,,,,,,
,Scott Morrow,NYR,R,D,29,0,6,6,-5,4,,,,,,,,,,,,
,Scott Sabourin,TBL,R,R,26,1,4,5,1,89,,,,,,,,,,,,
,Seamus Casey,NJD,R,D,2,0,0,0,-3,0,,,,,,,,,,,,
,Sean Couturier,PHI,L,C,78,12,24,36,-5,30,,,,,,,,,,,,
,Sean Durzi,UTA,R,D,60,5,22,27,-12,50,,,,,,,,,,,,
,Sean Kuraly,BOS,L,C,82,6,16,22,0,41,,,,,,,,,,,,
,Sean Monahan,CBJ,L,C,78,13,23,36,-1,12,,,,,,,,,,,,
,Sean Walker,CAR,R,D,81,9,22,31,6,59,,,,,,,,,,,,
,Sebastian Aho,CAR,L,C,79,27,53,80,11,46,,,,,,,,,,,,
,Seth Jarvis,CAR,R,C,71,32,34,66,6,23,,,,,,,,,,,,
,Seth Jones,FLA,R,D,52,7,25,32,-3,18,,,,,,,,,,,,
,Shakir Mukhamadullin,SJS,L,D,50,5,7,12,-3,22,,,,,,,,,,,,
,Shane Lachance,NJD,L,L,1,0,0,0,0,0,,,,,,,,,,,,
,Shane Pinto,OTT,R,C,72,23,23,46,6,42,,,,,,,,,,,,
,Shane Wright,SEA,R,C,74,12,15,27,6,10,,,,,,,,,,,,
,Shayne Gostisbehere,CAR,L,D,55,13,37,50,11,22,,,,,,,,,,,,
,Shea Theodore,VGK,L,D,70,10,29,39,19,24,,,,,,,,,,,,
,Sheldon Dries,DET,L,C,5,0,0,0,0,0,,,,,,,,,,,,
,Sidney Crosby,PIT,L,C,68,29,45,74,0,44,,,,,,,,,,,,
,Simon Benoit,TOR,L,D,73,0,6,6,-22,41,,,,,,,,,,,,
,Simon Edvinsson,DET,L,D,72,9,16,25,12,75,,,,,,,,,,,,
,Simon Holmstrom,NYI,L,R,79,19,22,41,4,16,,,,,,,,,,,,
,Simon Lundmark,TBL,R,D,1,0,0,0,1,0,,,,,,,,,,,,
,Simon Nemec,NJD,R,D,68,11,15,26,-11,26,,,,,,,,,,,,
,Skyler Brind'Amour,CAR,L,C,4,0,0,0,-2,2,,,,,,,,,,,,
,Sonny Milano,WSH,L,L,31,4,4,8,0,4,,,,,,,,,,,,
,Spencer Stastney,"NSH,EDM",L,D,36,1,0,1,-10,10,,,,,,,,,,,,
,Spencer Stastney,"NSH,EDM",L,D,30,1,8,9,-1,10,,,,,,,,,,,,
,Stefan Noesen,NJD,R,R,38,3,4,7,-12,33,,,,,,,,,,,,
,Stephen Halliday,OTT,L,C,30,4,7,11,0,2,,,,,,,,,,,,
,Steven Lorentz,TOR,L,C,71,7,11,18,-2,16,,,,,,,,,,,,
,Steven Santini,TBL,R,D,12,0,1,1,1,2,,,,,,,,,,,,
,Steven Stamkos,NSH,R,C,82,42,24,66,-17,58,,,,,,,,,,,,
,T.J. Tynan,COL,R,C,1,0,0,0,1,0,,,,,,,,,,,,
,Tage Thompson,BUF,R,C,81,40,41,81,-6,35,,,,,,,,,,,,
,Tanner Jeannot,BOS,L,L,77,6,16,22,-4,66,,,,,,,,,,,,
,Tanner Laczynski,VGK,R,C,10,0,5,5,0,4,,,,,,,,,,,,
,Tanner Pearson,"WPG,BUF",L,L,4,0,2,2,2,2,,,,,,,,,,,,
,Tanner Pearson,"WPG,BUF",L,L,52,7,6,13,7,25,,,,,,,,,,,,
,Taylor Hall,CAR,L,L,80,18,30,48,6,44,,,,,,,,,,,,
,Taylor Makar,COL,L,L,12,0,0,0,0,4,,,,,,,,,,,,
,Taylor Raddysh,NYR,R,R,68,9,10,19,5,12,,,,,,,,,,,,
,Taylor Ward,LAK,R,R,36,3,4,7,0,7,,,,,,,,,,,,
,Teddy Blueger,VAN,L,C,35,9,8,17,-12,22,,,,,,,,,,,,
,Teuvo Teravainen,CHI,L,C,75,14,21,35,-30,6,,,,,,,,,,,,
,Theo Lindstein,STL,L,D,17,2,2,4,6,6,,,,,,,,,,,,
,Thomas Chabot,OTT,L,D,57,7,24,31,6,22,,,,,,,,,,,,
,Thomas Harley,DAL,L,D,70,6,30,36,3,26,,,,,,,,,,,,
,Thomas Novak,PIT,L,C,82,16,26,42,1,24,,,,,,,,,,,,
,Tim Stützle,OTT,L,C,80,34,49,83,7,39,,,,,,,,,,,,
,Tim Washe,ANA,L,C,39,2,3,5,-6,14,,,,,,,,,,,,
,Timo Meier,NJD,L,R,77,24,20,44,-16,22,,,,,,,,,,,,
,Timothy Liljegren,"SJS,WSH",R,D,43,1,10,11,-7,27,,,,,,,,,,,,
,Timothy Liljegren,"SJS,WSH",R,D,4,0,0,0,0,2,,,,,,,,,,,,
,Tobias Bjornfot,FLA,L,D,19,2,2,4,1,2,,,,,,,,,,,,
,Tom Willander,VAN,R,D,70,5,16,21,-23,28,,,,,,,,,,,,
,Tom Wilson,WSH,R,R,72,30,32,62,15,117,,,,,,,,,,,,
,Tomas Hertl,VGK,L,C,82,24,34,58,-17,39,,,,,,,,,,,,
,Tomas Nosek,FLA,L,L,21,2,2,4,-8,4,,,,,,,,,,,,
,Tony DeAngelo,NYI,R,D,76,5,30,35,-5,43,,,,,,,,,,,,
,Topias Vilen,NJD,L,D,2,0,0,0,1,0,,,,,,,,,,,,
,Travis Hamonic,DET,R,D,26,0,2,2,-11,29,,,,,,,,,,,,
,Travis Konecny,PHI,R,R,77,27,41,68,14,59,,,,,,,,,,,,
,Travis Mitchell,NYI,L,D,9,1,0,1,0,6,,,,,,,,,,,,
,Travis Sanheim,PHI,L,D,81,11,26,37,12,20,,,,,,,,,,,,
,Trent Frederic,EDM,L,C,74,4,3,7,-15,58,,,,,,,,,,,,
,Trevor Kuntar,BUF,L,C,1,0,0,0,-1,0,,,,,,,,,,,,
,Trevor Moore,LAK,L,L,69,13,19,32,0,8,,,,,,,,,,,,
,Trevor van Riemsdyk,WSH,R,D,68,3,11,14,6,18,,,,,,,,,,,,
,Trevor Zegras,PHI,L,C,81,26,41,67,0,62,,,,,,,,,,,,
,Tristan Broz,PIT,L,C,1,0,0,0,-1,0,,,,,,,,,,,,
,Tristan Luneau,ANA,R,D,1,1,0,1,2,0,,,,,,,,,,,,
,Tristen Nielsen,COL,L,C,4,0,1,1,1,0,,,,,,,,,,,,
,Troy Stecher,"EDM,TOR",R,D,58,3,11,14,-8,12,,,,,,,,,,,,
,Troy Stecher,"EDM,TOR",R,D,6,0,0,0,0,8,,,,,,,,,,,,
,Troy Terry,ANA,R,R,61,19,38,57,11,14,,,,,,,,,,,,
,Ty Dellandrea,SJS,R,C,46,2,9,11,-18,22,,,,,,,,,,,,
,Ty Emberson,EDM,R,D,72,2,10,12,-1,23,,,,,,,,,,,,
,Ty Mueller,VAN,L,C,6,1,0,1,1,2,,,,,,,,,,,,
,Ty Murchison,PHI,L,D,3,0,0,0,1,0,,,,,,,,,,,,
,Tye Kartye,"SEA,NYR",L,L,40,3,5,8,-6,21,,,,,,,,,,,,
,Tye Kartye,"SEA,NYR",L,L,24,5,9,14,0,17,,,,,,,,,,,,
,Tyler Bertuzzi,CHI,L,L,79,32,26,58,-16,42,,,,,,,,,,,,
,Tyler Kleven,OTT,L,D,70,3,15,18,2,53,,,,,,,,,,,,
,Tyler Myers,"VAN,DAL",R,D,57,1,7,8,-25,40,,,,,,,,,,,,
,Tyler Myers,"VAN,DAL",R,D,16,0,3,3,2,12,,,,,,,,,,,,
,Tyler Pitlick,MIN,R,C,32,2,0,2,-4,24,,,,,,,,,,,,
,Tyler Seguin,DAL,R,C,27,7,10,17,10,2,,,,,,,,,,,,
,Tyler Toffoli,SJS,R,C,79,19,30,49,-12,10,,,,,,,,,,,,
,Tyler Tucker,STL,L,D,69,3,14,17,-4,81,,,,,,,,,,,,
,Tyson Foerster,PHI,R,R,29,13,4,17,8,22,,,,,,,,,,,,
,Tyson Gross,CGY,R,C,6,1,0,1,-2,2,,,,,,,,,,,,
,Tyson Hinds,ANA,L,D,6,0,0,0,1,2,,,,,,,,,,,,
,Tyson Jost,NSH,L,C,69,8,8,16,-21,30,,,,,,,,,,,,
,Tyson Kozak,BUF,L,C,46,2,4,6,-1,2,,,,,,,,,,,,
,Urho Vaakanainen,NYR,L,D,34,0,6,6,0,14,,,,,,,,,,,,
,Uvis Balinskis,FLA,L,D,54,5,10,15,-13,30,,,,,,,,,,,,
,Valeri Nichushkin,COL,L,R,72,17,32,49,9,26,,,,,,,,,,,,
,Vasily Podkolzin,EDM,L,R,82,19,18,37,16,63,,,,,,,,,,,,
,Victor Eklund,NYI,R,R,1,0,1,1,0,0,,,,,,,,,,,,
,Victor Hedman,TBL,L,D,33,1,16,17,-1,10,,,,,,,,,,,,
