player_id,Player,Team,S/C,Pos,GP,G,A,P,+/-,PIM,,,,,,,,,,,,
,Brendan Smith,CBJ,L,D,15,0,2,2,-1,11,,,,,,,,,,,,
,Brenden Dillon,NJD,L,D,82,3,12,15,-13,89,,,,,,,,,,,,
,Brennan Othmann,"NYR,CGY",L,L,2,1,1,2,-4,0,,,,,,,,,,,,
,Brennan Othmann,"NYR,CGY",L,L,17,1,0,1,-4,11,,,,,,,,,,,,
,Brent Burns,COL,R,D,82,12,23,35,33,32,,,,,,,,,,,,
,Brett Berard,NYR,L,L,13,0,0,0,-1,6,,,,,,,,,,,,
,Brett Howden,VGK,L,C,58,12,10,22,-9,41,,,,,,,,,,,,
,Brett Kulak,"EDM,PIT,COL",L,D,31,0,2,2,-7,10,,,,,,,,,,,,
,Brett Kulak,"EDM,PIT,COL",L,D,27,0,3,3,1,10,,,,,,,,,,,,
,Brett Kulak,"EDM,PIT,COL",L,D,25,1,6,7,2,18,,,,,,,,,,,,
,Brett Leason,WSH,R,R,6,0,0,0,-2,0,,,,,,,,,,,,
,Brett Pesce,NJD,R,D,37,1,6,7,-11,6,,,,,,,,,,,,
,Brian Dumoulin,LAK,L,D,82,2,15,17,-1,22,,,,,,,,,,,,
,Brian Halonen,NJD,R,L,15,1,1,2,-1,9,,,,,,,,,,,,
,Brock Boeser,VAN,R,R,75,22,26,48,-48,8,,,,,,,,,,,,
,Brock Faber,MIN,R,D,80,15,36,51,18,39,,,,,,,,,,,,
,Brock Nelson,COL,L,C,81,33,32,65,15,36,,,,,,,,,,,,
,Bryan Rust,PIT,R,R,72,29,36,65,0,26,,,,,,,,,,,,
,Cale Fleury,SEA,R,D,23,1,2,3,1,7,,,,,,,,,,,,
,Cale Makar,COL,R,D,75,20,59,79,32,24,,,,,,,,,,,,
,Caleb Jones,PIT,L,D,7,0,1,1,1,0,,,,,,,,,,,,
,Calle Jarnkrok,TOR,R,C,56,6,2,8,-15,8,,,,,,,,,,,,
,Calum Ritchie,NYI,R,C,65,13,17,30,-14,22,,,,,,,,,,,,
,Cam Fowler,STL,L,D,82,4,26,30,-11,14,,,,,,,,,,,,
,Cam York,PHI,L,D,74,4,22,26,5,28,,,,,,,,,,,,
,Cameron Crotty,OTT,R,D,6,0,1,1,0,0,,,,,,,,,,,,
,Cameron Hughes,DAL,L,C,3,1,0,1,2,0,,,,,,,,,,,,
,Carl Grundstrom,PHI,L,R,47,9,4,13,7,19,,,,,,,,,,,,
,Carson Lambos,MIN,L,D,1,0,0,0,1,0,,,,,,,,,,,,
,Carson Soucy,"NYR,NYI",L,D,30,2,2,4,-10,20,,,,,,,,,,,,
,Carson Soucy,"NYR,NYI",L,D,46,3,5,8,4,18,,,,,,,,,,,,
,Carter Mazur,DET,R,L,8,0,0,0,-3,0,,,,,,,,,,,,
,Carter Verhaeghe,FLA,L,C,77,25,30,55,-14,32,,,,,,,,,,,,
,Carter Yakemchuk,OTT,R,D,4,1,1,2,-1,2,,,,,,,,,,,,
,Casey Cizikas,NYI,L,C,81,10,8,18,-3,20,,,,,,,,,,,,
,Casey Mittelstadt,BOS,L,C,71,15,27,42,12,12,,,,,,,,,,,,
,Chandler Stephenson,SEA,L,C,80,16,33,49,-24,14,,,,,,,,,,,,
,Charle-Edouard D'Astous,TBL,L,D,70,6,23,29,-4,112,,,,,,,,,,,,
,Charles Alexis Legault,CAR,R,D,12,1,1,2,5,15,,,,,,,,,,,,
,Charlie Coyle,CBJ,R,C,82,20,38,58,3,14,,,,,,,,,,,,
,Charlie McAvoy,BOS,R,D,69,11,50,61,13,62,,,,,,,,,,,,
,Chris Kreider,ANA,L,L,75,22,28,50,-4,34,,,,,,,,,,,,
,Chris Tanev,TOR,R,D,11,0,2,2,8,0,,,,,,,,,,,,
,Christian Dvorak,PHI,L,C,80,18,33,51,11,27,,,,,,,,,,,,
,Claude Giroux,OTT,R,R,82,14,35,49,20,22,,,,,,,,,,,,
,Clayton Keller,UTA,L,R,82,26,62,88,21,38,,,,,,,,,,,,
,Cody Ceci,LAK,R,D,82,1,8,9,-10,16,,,,,,,,,,,,
,Cody Glass,NJD,R,C,70,19,7,26,3,39,,,,,,,,,,,,
,Cole Caufield,MTL,R,R,81,51,37,88,29,14,,,,,,,,,,,,
,Cole Hutson,WSH,L,D,14,3,7,10,-3,8,,,,,,,,,,,,
,Cole Koepke,WPG,L,L,66,8,9,17,1,16,,,,,,,,,,,,
,Cole McWard,NYI,R,D,3,0,0,0,1,0,,,,,,,,,,,,
,Cole O'Hara,NSH,R,R,1,0,1,1,1,0,,,,,,,,,,,,
,Cole Perfetti,WPG,L,C,68,12,20,32,-9,20,,,,,,,,,,,,
,Cole Reinhardt,"VGK,FLA",L,L,44,3,4,7,-6,19,,,,,,,,,,,,
,Cole Reinhardt,"VGK,FLA",L,L,15,6,2,8,4,2,,,,,,,,,,,,
,Cole Schwindt,FLA,R,R,29,5,2,7,2,2,,,,,,,,,,,,
,Cole Sillinger,CBJ,L,C,81,8,25,33,2,37,,,,,,,,,,,,
,Cole Smith,"NSH,VGK",L,R,42,6,4,10,-7,31,,,,,,,,,,,,
,Cole Smith,"NSH,VGK",L,R,21,2,0,2,0,9,,,,,,,,,,,,
,Colin Blackwell,DAL,R,C,70,4,11,15,-2,40,,,,,,,,,,,,
,Colin Miller,WPG,R,D,18,0,2,2,-8,6,,,,,,,,,,,,
,Collin Graf,SJS,R,R,81,21,25,46,6,12,,,,,,,,,,,,
,Colton Dach,"CHI,EDM",L,C,53,3,6,9,-15,47,,,,,,,,,,,,
,Colton Dach,"CHI,EDM",L,C,8,2,2,4,0,5,,,,,,,,,,,,
,Colton Parayko,STL,R,D,77,4,14,18,-6,23,,,,,,,,,,,,
,Colton Sissons,VGK,R,C,66,6,5,11,-11,28,,,,,,,,,,,,
,Colton White,NJD,L,D,23,0,4,4,2,2,,,,,,,,,,,,
,Connor Bedard,CHI,R,C,69,30,45,75,-18,50,,,,,,,,,,,,
,Connor Brown,NJD,R,R,75,18,25,43,-1,22,,,,,,,,,,,,
,Connor Clattenburg,EDM,L,C,5,1,0,1,1,13,,,,,,,,,,,,
